date:30/06/2022 11:02:07 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:Port:loop_protect_vlan | time_taken:0.04339709300000005
date:30/06/2022 11:02:08 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:Port:vrf | time_taken:0.05168051700000009
date:30/06/2022 11:02:09 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:DHCP_Relay:port | time_taken:0.04106889100000011
date:30/06/2022 11:02:09 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:Port:other_config | time_taken:0.03602703800000007
date:30/06/2022 11:02:10 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:Port:port_access_auth_configurations | time_taken:0.041785189000000056
date:30/06/2022 11:02:10 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:Port:vlan_mode | time_taken:0.036344597999999895
date:30/06/2022 11:02:11 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:System:bpdu_guard_timeout | time_taken:0.03481171999999999
date:30/06/2022 11:02:11 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:Port:admin | time_taken:0.042575271000000026
date:30/06/2022 11:02:12 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:System:portaccess_local_accounting_enable | time_taken:0.03963539499999991
date:30/06/2022 11:02:12 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:Interface:name | time_taken:0.04619149899999986
date:30/06/2022 11:02:13 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:Port:aclv4_routed_out_cfg | time_taken:0.034788083000000025
date:30/06/2022 11:02:14 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:ACL:vsx_sync | time_taken:0.06161113099999982
date:30/06/2022 11:02:14 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:ACL:cfg_version | time_taken:0.03399292300000001
date:30/06/2022 11:02:15 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:Port:l3_counters_enable | time_taken:0.039274320000000085
date:30/06/2022 11:02:15 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:Port:qos_config | time_taken:0.04215883499999995
date:30/06/2022 11:02:16 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:ACL:list_type | time_taken:0.03985014900000006
date:30/06/2022 11:02:16 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:VLAN:name | time_taken:0.03864049299999994
date:30/06/2022 12:12:54 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:System:stp_mode | time_taken:0.04390767000000029
date:30/06/2022 12:12:54 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:Interface:user_config | time_taken:0.041708276000000044
date:30/06/2022 12:12:55 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:DHCP_Relay:vrf | time_taken:0.03950085599999986
date:30/06/2022 12:12:55 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:System:dlog_destination | time_taken:0.040832871000000104
date:30/06/2022 12:12:56 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:VRF:ospf_routers | time_taken:0.042545985000000064
date:30/06/2022 12:12:56 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:System:qos_config | time_taken:0.04895745099999993
date:30/06/2022 12:12:57 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:System:2 | time_taken:0.047921526999999964
date:30/06/2022 12:12:58 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:Port:aclv4_routed_out_cfg_version | time_taken:0.03878959000000015
date:30/06/2022 12:12:59 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:Port:name | time_taken:0.07051495499999993
date:30/06/2022 12:12:59 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:VLAN:id | time_taken:0.03916895599999992
date:30/06/2022 12:13:00 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:VRF:aclv4_control_plane_cfg | time_taken:0.035598352999999916
date:30/06/2022 12:13:00 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:Interface:description | time_taken:0.03456215500000004
date:30/06/2022 12:13:01 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:Port:vlan_trunks | time_taken:0.034407879999999946
date:30/06/2022 12:13:01 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:System:stp_enable | time_taken:0.03473230599999999
date:30/06/2022 12:13:02 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:VRF:Radius_Server | time_taken:0.03539519599999985
date:30/06/2022 12:13:02 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:Port:lacp | time_taken:0.04067658299999999
date:30/06/2022 12:13:03 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:System:mirrors | time_taken:0.037598785000000134
date:30/06/2022 12:13:03 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:System:5.5.132.24 | time_taken:0.034883408000000005
date:30/06/2022 12:13:04 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:VLAN:description | time_taken:0.040386935999999984
date:30/06/2022 12:13:04 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:ACL:cfg_aces | time_taken:0.04197460899999994
date:30/06/2022 12:13:05 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:Port:port_access_clients_limit | time_taken:0.04323202699999995
date:30/06/2022 12:13:06 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:System:ntp_config_vrf | time_taken:0.0633587229999999
date:30/06/2022 12:13:06 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:Port:stp_config | time_taken:0.04034031199999988
date:30/06/2022 12:13:07 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:System:mstp_config_revision | time_taken:0.04190123899999998
date:30/06/2022 12:13:07 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:DHCP_Relay:ipv4_ucast_server | time_taken:0.03548690100000007
date:30/06/2022 12:13:08 | input:config_history_stats/144_SandA_Updated.csv | depth:1 | keyword:ACL:name | time_taken:0.040408822000000066
